District,Zipcode,Density (hab./Ha),Population,From 0 to 15 years,From 16 to 64 years,65 years or more
city of madrid,28019,"54,79",3312310,455915,2193001,663394
centro,28013,"270,14",141236,10608,108667,21961
arganzuela,28045,"238,68",154243,18571,105078,30594
retiro ,28007,"216,89",118557,14443,73037,31077
salamanca,28001,"270,78",146016,16147,95122,34747
chamartín,28002,"158,79",145700,19913,91663,34124
tetuán,28020,"297,40",159849,18293,111262,30294
chamberí,28010,"296,34",138667,14767,90307,33593
fuencarral- el pardo,28029,"10,41",247692,43940,151598,52154
moncloa-aravaca,28008,"25,96",120834,17036,77360,26438
latina,28044,"94,44",240155,28946,153183,58026
carabanchel,28025,"184,10",258633,36742,173880,48011
usera,28026,"183,15",142454,21188,97802,23464
puente de vallecas,28038,"159,70",239057,32422,164930,41705
moratalaz,28030,"153,70",93810,10702,58667,24441
ciudad lineal,28037,"189,76",216818,26603,140979,49236
hortaleza,28043,"70,47",193228,33962,123390,35876
villaverde,28021,"76,68",154808,24755,104295,25758
villa de vallecas,28031,"22,29",114733,21691,78516,14526
vicálvaro,28032,"21,4",75485,13130,51726,10629
san blas-canillejas,28022,"71,88",160258,23211,109264,27783
barajas,28042,"11,94",50077,8845,32275,8957
